State,Median income 2019,Median income 2018,Median income 2017,Median income 2016,Median income 2015,Median income 2014,Median income 2013,Median income 2012,Median income 2011,Median income 2010,Median income 2009,Median income 2008,Median income 2007,Median income 2006,Median income 2005,Median income 2004,Median income 2003,Median income 2002,Median income 2001,Median income 2000
United States,"68,703","63,179","61,136","59,039","56,516","53,657","53,585","51,017","50,054","49,276","49,777","50,303","50,233","48,201","46,326","44,334","43,318","42,409","42,228","41,990"
Alabama,"56,200","49,936","50,865","47,221","44,509","42,278","47,320","43,464","42,590","40,933","39,980","44,476","42,212","37,952","37,150","36,629","37,255","37,603","35,160","35,424"
Alaska,"78,394","68,734","77,987","75,723","75,112","67,629","72,472","63,648","57,431","57,848","61,604","63,989","62,993","56,418","55,891","55,063","51,837","52,774","57,363","52,847"
Arizona,"70,674","62,283","59,700","57,100","52,248","49,254","52,611","47,044","48,621","46,896","45,739","46,914","47,215","46,657","45,245","43,846","41,166","39,734","42,704","39,783"
Arkansas,"54,539","49,781","49,751","45,907","42,798","44,922","39,376","39,018","41,302","38,587","36,538","39,586","40,795","37,057","36,658","34,984","32,002","32,387","33,339","29,697"
California,"78,105","70,489","70,038","66,637","63,636","60,487","60,794","57,020","53,367","54,283","56,134","57,014","55,734","55,319","51,755","49,222","49,300","47,437","47,262","46,816"
Colorado,"72,499","73,034","74,984","70,566","66,596","60,940","67,912","57,255","58,629","60,233","55,930","60,943","61,141","55,697","50,449","50,886","49,940","48,294","49,397","48,240"
Connecticut,"87,291","72,812","74,304","75,923","72,889","70,161","69,291","64,247","65,415","65,998","64,851","64,682","64,141","62,404","56,835","55,100","54,965","53,387","53,347","50,172"
Delaware,"74,194","65,012","64,961","58,046","57,756","57,522","54,091","48,972","54,660","55,214","52,114","50,702","54,589","52,438","51,235","48,049","49,019","49,650","49,602","50,365"
Florida,"58,368","54,644","53,086","51,176","48,825","46,140","48,532","46,071","45,105","44,066","45,631","44,857","45,794","45,676","42,990","40,535","38,972","38,024","36,421","38,856"
Georgia,"56,628","55,821","57,985","53,527","50,768","49,555","46,992","48,121","45,973","44,117","43,340","46,227","48,641","49,344","45,926","40,984","42,438","42,939","42,576","41,901"
Hawaii,"88,006","80,108","73,599","72,133","64,514","71,223","64,235","56,263","59,047","59,539","55,649","61,521","64,022","60,470","59,586","56,242","51,834","47,303","47,439","51,546"
Idaho,"65,988","58,728","59,497","56,564","51,624","53,438","48,467","47,922","47,459","47,050","46,778","47,420","49,184","46,213","44,176","44,358","42,372","37,715","38,241","37,611"
Illinois,"74,399","70,145","65,969","61,386","60,413","54,916","53,937","51,738","50,637","50,728","52,870","53,254","52,506","48,671","48,398","46,077","45,153","42,710","46,171","46,064"
Indiana,"66,693","59,892","58,767","56,094","51,983","48,060","49,455","46,158","44,445","46,139","44,305","46,520","47,453","45,407","42,437","42,329","42,425","41,047","40,379","40,865"
Iowa,"66,054","68,718","63,467","59,094","60,855","57,810","60,156","53,442","50,219","49,016","50,721","50,142","48,908","48,126","46,500","43,391","41,384","41,049","40,976","40,991"
Kansas,"73,151","63,938","56,900","56,810","54,865","53,444","47,820","50,003","46,147","46,054","44,717","47,877","48,497","45,552","42,027","41,066","44,232","42,619","41,415","41,059"
Kentucky,"55,662","54,555","49,672","45,369","42,387","42,786","44,879","41,086","39,856","41,104","42,664","41,148","39,452","39,485","36,699","35,610","36,936","36,762","38,437","36,265"
Louisiana,"51,707","49,973","43,565","42,196","45,922","42,406","46,425","39,085","40,658","39,300","45,433","39,563","41,313","36,488","37,236","36,429","33,507","34,008","33,322","30,718"
Maine,"66,546","58,663","53,316","50,856","50,756","51,710","54,957","49,158","49,693","47,931","47,502","47,228","47,894","45,642","43,923","41,329","37,113","36,853","36,612","37,266"
Maryland,"95,572","86,223","82,093","73,760","73,594","76,165","69,353","71,836","68,876","64,201","64,186","63,711","65,630","63,668","60,512","57,103","52,314","56,407","53,530","54,535"
Massachusetts,"87,707","86,345","76,243","72,266","67,861","63,151","62,529","63,656","63,313","60,934","59,373","60,320","58,463","55,330","56,017","52,019","50,955","49,855","52,253","46,753"
Michigan,"64,119","60,449","56,405","57,091","54,203","52,005","56,567","50,015","48,879","46,276","45,994","49,788","49,370","48,647","45,933","42,256","45,022","42,715","45,047","45,512"
Minnesota,"81,426","71,817","69,975","70,218","68,730","67,244","64,324","61,795","57,820","52,321","56,090","54,925","58,058","56,211","54,215","56,104","52,823","54,622","52,681","54,251"
Mississippi,"44,787","42,781","43,281","41,099","40,037","35,521","32,338","36,641","41,090","38,160","35,078","36,446","37,279","34,733","32,875","34,755","32,728","30,882","30,161","34,299"
Missouri,"60,597","61,726","56,530","55,016","59,196","56,630","46,303","49,764","45,774","45,817","48,769","46,038","46,005","44,579","42,986","42,137","43,762","42,776","41,339","45,097"
Montana,"60,195","57,679","57,407","57,075","51,395","51,102","43,201","45,088","40,277","41,280","40,437","42,900","43,655","41,105","37,313","33,956","34,108","34,835","32,126","32,777"
Nebraska,"73,071","67,575","59,583","59,374","60,474","56,870","57,623","52,196","55,616","52,504","49,595","50,728","49,174","48,145","47,923","43,786","43,974","42,796","43,611","41,750"
Nevada,"70,906","61,864","58,041","55,431","52,008","49,875","51,846","47,333","47,043","51,200","51,434","54,744","54,058","52,282","48,209","47,204","45,184","44,958","45,403","45,758"
New Hampshire,"86,900","81,346","75,630","76,260","75,675","73,397","69,099","67,819","65,880","66,633","64,131","66,176","67,576","61,970","56,984","56,815","55,567","55,321","51,331","50,926"
New Jersey,"87,726","74,176","71,240","68,468","68,357","65,243","63,754","66,692","62,338","62,968","64,777","65,306","60,508","68,059","63,368","55,275","56,045","54,568","51,771","50,405"
New Mexico,"53,113","48,283","45,601","48,451","45,119","46,686","40,166","43,424","41,982","45,134","43,542","42,102","44,356","40,028","38,947","39,562","35,105","35,457","33,124","35,093"
New York,"71,855","67,274","61,543","61,437","58,005","54,310","49,966","47,680","50,636","49,781","50,216","50,461","48,944","48,222","47,176","44,649","42,788","41,966","42,114","40,744"
North Carolina,"61,159","53,369","49,547","53,764","50,797","46,784","46,337","41,553","45,206","43,830","41,906","42,930","43,513","39,797","42,056","40,238","37,279","36,515","38,162","38,317"
North Dakota,"70,031","66,505","60,167","60,184","57,415","60,730","59,152","55,766","56,361","51,006","50,075","49,631","47,205","41,047","42,192","39,220","40,410","36,200","35,793","35,996"
Ohio,"64,663","61,633","60,688","53,985","53,301","49,644","50,748","44,375","44,648","45,886","45,879","46,934","49,099","45,900","44,203","43,055","43,520","42,684","41,785","42,962"
Oklahoma,"59,397","54,434","51,882","50,943","47,077","47,199","46,162","48,407","48,455","43,103","45,878","46,111","43,216","38,838","37,645","39,614","35,902","36,458","35,609","32,432"
Oregon,"74,413","69,165","62,498","59,135","60,834","58,875","48,999","51,775","51,526","50,602","49,098","51,727","50,236","47,091","44,159","40,994","41,638","41,802","41,273","42,499"
Pennsylvania,"70,582","64,524","61,285","60,979","60,389","55,173","55,156","51,904","49,910","48,314","48,172","51,402","48,437","48,477","46,300","44,106","42,933","42,498","43,499","42,176"
Rhode Island,"70,151","62,266","65,401","61,528","55,701","58,633","56,323","56,065","49,033","51,623","51,634","53,241","54,210","53,736","49,484","47,935","44,711","42,417","45,723","42,197"
South Carolina,"62,028","57,444","54,537","54,336","46,360","44,929","43,563","44,401","40,084","41,698","41,101","42,155","44,213","39,617","40,230","38,691","38,479","37,812","37,736","37,570"
South Dakota,"64,255","59,463","56,914","57,450","55,065","53,053","53,413","49,415","47,223","45,352","45,826","51,600","46,418","45,427","43,151","41,107","39,522","37,873","39,671","36,475"
